Description,Month/Day,Year,Source(s)
The first Petroleum Research Fund grants are awarded by ACS.,,1954,N
Chemical Abstracts becomes the Chemical Abstracts Service (CAS) and officially becomes an operating division of ACS.,,1956,Y
