Description,Month/Day,Year,Source(s),Image Provided?
"CAS Registry Numbers are established, which eliminate ambiguity in chemical naming by assigning a unique identifier to every substance described in scientific literature.",,1965,,N
"Project SEED is established, providing summer research opportunities for economically disadvantaged high school students to work alongside scientists.",April 4,1968,https://cen.acs.org/articles/96/i5/Happy-50th-birthday-Project-SEED.html,Y
