Description,Month/Day,Year,Source(s),Image Provided?
"ACS celebrates its 25th anniversary with over 1,900 members.",,1901,,Y
"Chemical Abstracts, a comprehensive and separate journal of abstracts, debuts.",January,1907,https://www.acs.org/education/whatischemistry/landmarks/cas.html,Y
Industrial & Engineering Chemistry (I&EC) becomes the first official ACS Division.,,1908,"""The American Chemical Society at 125: A Recent History, 1976-2001""",Y
"The first five ACS Divisions were created, including:
 - Agricultural & Food Chemistry
 - Industrial & Engineering Chemistry
 - Organic Chemistry
 - Physical Chemistry
 - Fertilizer Chemistry",,1908,"""The American Chemical Society at 125: A Recent History, 1976-2001""",N
,,,,
,,,,
