Description,Month/Day,Year,Source(s),Imager Provided?
"JACS Au, the Society's first open-access journal, is published",,2021,https://pubs.acs.org/journal-metrics?ref=journal_about,Y
"ACS celebrates the first Chemical Technical Professionals (CTP) day, honoring and sharing resources for these professionals across the chemical industry.",May 22,2025,https://www.acs.org/education/technical-education/celebrate-ctp-day.html,Y
